,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
125,126,CERTIFIED-WITHDRAWN,"HARGRAY COMMUNICATIONS GROUP, INC.",CHIEF EXECUTIVES,"SR. VICE PRESIDENT, TECHNOLOGY & OPERATIONS",Y,145122.0,2016.0,"HILTON HEAD ISLAND, SOUTH CAROLINA",-80.752608,32.216316
126,127,CERTIFIED,DIAMONDS DIRECT USA INC,CHIEF EXECUTIVES,PRESIDENT/CEO,Y,187200.0,2016.0,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
127,128,CERTIFIED,"NATURAL POWER AND ENERGY, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,213200.0,2016.0,"SCOTTSDALE, ARIZONA",-111.9260519,33.494170399999994
128,129,CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016.0,"BERKELEY, CALIFORNIA",-122.272747,37.87159260000001
129,130,CERTIFIED,RIGHTSIDE OPERATING CO,CHIEF EXECUTIVES,"ELECTRICAL ENGINEER, CHIEF TECHNOLOGY OFFICER",Y,229133.0,2016.0,"KIRKLAND, WASHINGTON",-122.20598329999999,47.6768927
130,131,CERTIFIED,ENGINE CONTROL SYSTEMS LIMITED,CHIEF EXECUTIVES,VICE PRESIDENT OF RESEARCH AND ENGINEERING,Y,106933.0,2016.0,"OXNARD, CALIFORNIA",-119.17705159999998,34.1975048
131,132,CERTIFIED,"SHIRE PHARMACEUTICALS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,254821.0,2016.0,"LEXINGTON, MASSACHUSETTS",-71.2289641,42.443037200000006
132,133,CERTIFIED-WITHDRAWN,TI GROUP AUTOMOTIVE SYSTEMS L.L.C.,CHIEF EXECUTIVES,DIRECTOR INVESTOR RELATIONS,Y,191090.0,2016.0,"AUBURN HILLS, MICHIGAN",-83.23410279999999,42.6875323
133,134,CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,142210.0,2016.0,"NORTHUMBERLAND, NEW YORK",,
134,135,CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,145038.0,2016.0,"GLENS FALLS, NEW YORK",,
135,136,CERTIFIED,"ADVANCED PRACTICE STRATEGIES, INC.",CHIEF EXECUTIVES,STRATEGIC ADVISOR TO THE CEO (CHIEF EXECUTIVE),Y,164403.0,2016.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
136,137,CERTIFIED,"PROFESSIONAL TOOL GRINDING, INC.",CHIEF EXECUTIVES,VP OF MANUFACTURING,Y,111842.0,2016.0,"SOUTH EASTON, MASSACHUSETTS",,
137,138,CERTIFIED,TMS PLUMBING AND HEATING CORP,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
138,139,CERTIFIED,"CASTLE BRANCH, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,209539.0,2016.0,"WILMINGTON, NORTH CAROLINA",-77.9447102,34.2257255
139,140,CERTIFIED,LIGHT & STAR USA INC,CHIEF EXECUTIVES,CHIEF FINANACIAL OFFICER,N,70000.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
140,141,CERTIFIED,THEODORE R & VIVIAN M JOHNSON SCHOLARSHIP FOUND,CHIEF EXECUTIVES,PRESIDENT,Y,218629.0,2016.0,"WEST PALM BEACH, FLORIDA",-80.0533746,26.7153424
141,142,CERTIFIED,ASCENTIUM CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER/CHIEF TECHNOLOGY OFFICER,Y,229133.0,2016.0,"SEATTLE, WASHINGTON",-122.33207079999998,47.6062095
142,143,CERTIFIED,"HES MANAGEMENT AND SERVICES, LLC",CHIEF EXECUTIVES,CFO CONSTRUCTION AND HOTEL MANAGEMENT,Y,205629.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
143,144,CERTIFIED,"CALVARY DESIGN TEAM, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,212597.0,2016.0,"WEBSTER, NEW YORK",-77.4299939,43.2122851
144,145,CERTIFIED,"GLOBAL CONVERGENCE, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF GLOBAL SERVICE DELIVERY,Y,113693.0,2016.0,"OLDSMAR, FLORIDA",-82.66509920000001,28.0341847
145,146,CERTIFIED,E*TRADE FINANCIAL CORPORATION,CHIEF EXECUTIVES,"CHIEF OPERATING OFFICER, IT INFRASTRUCTURE",Y,246314.0,2016.0,"ALPHARETTA, CALIFORNIA",,
146,147,CERTIFIED-WITHDRAWN,"AUTOLIV ASP, INC.",CHIEF EXECUTIVES,VICE PRESIDENT ENGINEERING,Y,191090.0,2016.0,"SOUTHFIELD, MICHIGAN",-83.2218731,42.473368799999996
147,148,CERTIFIED,EXCLUSIVE RESORTS LLC,CHIEF EXECUTIVES,FULL-TIME CHAIRMAN OF THE BOARD,Y,187200.0,2016.0,"DENVER, COLORADO",-104.990251,39.739235799999996
148,149,CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424.0,2016.0,"HENDERSONVILLE, NORTH CAROLINA",,
149,150,CERTIFIED,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",CHIEF EXECUTIVES,"DIRECTOR, BIOLOGY AND SOFT MATTER DIVISION",Y,178859.0,2016.0,"OAK RIDGE, TENNESSEE",-84.2696449,36.010356099999996
150,151,CERTIFIED,"ACME INTERNATIONAL, LLC",CHIEF EXECUTIVES,VICE PRESIDENT,Y,118061.0,2016.0,"SUNRISE, FLORIDA",-80.25659499999999,26.1669711
151,152,CERTIFIED,INTUIT INC.,CHIEF EXECUTIVES,DIRECTOR CORPORATE STRATEGY,Y,187200.0,2016.0,"MOUNTAIN VIEW, CALIFORNIA",-122.08385109999999,37.3860517
152,153,CERTIFIED,STEREN ELECTRONICS INTERNATIONAL LLC,CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE",Y,148824.0,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
153,154,CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,119184.0,2016.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
154,155,CERTIFIED-WITHDRAWN,"II STANLEY CO., INC.",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,95160.0,2016.0,"BATTLE CREEK, MICHIGAN",-85.17971419999999,42.32115220000001
155,156,CERTIFIED,OCTAL CORPORATION,CHIEF EXECUTIVES,PRESIDENT,Y,233418.0,2016.0,"TEANECK, NEW JERSEY",-74.0116536,40.8932469
156,157,CERTIFIED,GLOBAL EXPERIENCE SPECIALISTS,CHIEF EXECUTIVES,GENERAL MANAGER EXECUTIVE,Y,177528.0,2016.0,"LAS VEGAS, NEVADA",-115.13982959999998,36.169941200000004
157,158,CERTIFIED,FOSS WATERWAY SEAPORT,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,89690.0,2016.0,"TACOMA, WASHINGTON",-122.4442906,47.252876799999996
158,159,DENIED,X-DRILL INC,CHIEF EXECUTIVES,"VICE PRESIDENT, QUALITY, HEALTH & SAFETY",Y,187200.0,2016.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
159,160,CERTIFIED,"SIGMA-TAU PHARMACEUTICALS, INC.",CHIEF EXECUTIVES,"VICE PRESIDENT COMMERICAL OPERATIONS, PHARMACEUTICAL PRODUCT",Y,193170.0,2016.0,"GAITHERSBURG, MARYLAND",-77.2013705,39.143440600000005
160,161,CERTIFIED,GASTON J GLOCK STYLE LP,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,102190.4,2016.0,"SMYRNA, GEORGIA",-84.51437609999999,33.883992600000006
161,162,CERTIFIED,"T-LIGO USA, LLC",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,136323.2,2016.0,"ORLANDO, FLORIDA",-81.3792365,28.5383355
162,163,CERTIFIED,GETMYRX INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,159370.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
163,164,CERTIFIED,"VIMTREK, LLC",CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENTS, SALES",Y,102190.0,2016.0,"NORCROSS, GEORGIA",-84.2135309,33.9412127
164,165,CERTIFIED,BIZINSURE LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,106246.0,2016.0,"OAKLAND, CALIFORNIA",-122.27111370000002,37.8043637
165,166,CERTIFIED,"MORRISON USA, LLC",CHIEF EXECUTIVES,CHIEF BUSINESS DEVELOPING OFFICER,Y,113090.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
166,167,CERTIFIED,"OKINAWA PREFECTURE DC OFFICE, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,103480.0,2016.0,"WASHINGTON, DISTRICT OF COLUMBIA",-77.03687070000001,38.9071923
167,168,CERTIFIED,LOS COMALES INC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,90875.0,2016.0,"GREELEY, COLORADO",-104.7091322,40.42331420000001
168,169,CERTIFIED,KENDALL HEALTHCARE PROPERTIES,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,113090.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
169,170,CERTIFIED,HONEY SCIENCE CORPORATION,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,117998.0,2016.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
170,171,CERTIFIED-WITHDRAWN,"HEART TEST LABORATORIES, INC.",CHIEF EXECUTIVES,EXECUTIVE CHAIRMAN/CFO,Y,118290.0,2016.0,"WESTLAKE, TEXAS",-97.1950138,32.991234999999996
171,172,CERTIFIED,"EARGO, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016.0,"MOUNTAIN VIEW, CALIFORNIA",-122.08385109999999,37.3860517
172,173,CERTIFIED,WORLD TRADE CENTERS ASSOCIATION (WTCA),CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER (CHIEF EXECUTIVES),Y,187200.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
173,174,CERTIFIED,PI CHARGING INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,215862.0,2016.0,"MENLO PARK, CALIFORNIA",-122.1817252,37.4529598
174,175,CERTIFIED,"EXYN TECHNOLOGIES, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"PHILADELPHIA, PENNSYLVANIA",-75.1652215,39.9525839
175,176,CERTIFIED,FMR LLC,CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENT OF FINANCE, PLANNING AND ANALYSIS",Y,254821.0,2016.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
176,177,CERTIFIED,BANDY CANYON RANCH CORP,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,99986.0,2016.0,"ESCONDIDO, CALIFORNIA",-117.086421,33.1192068
177,178,DENIED,CARMA TECHOLOGY CORPORATION,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
178,179,CERTIFIED,"DIGITAL REASONING SYSTEMS, INC.",CHIEF EXECUTIVES,CHIEF PRODUCT OFFICER,Y,210933.0,2016.0,"FRANKLIN, TENNESSEE",-86.86888990000001,35.9250637
179,180,CERTIFIED,"MEDICUS MANAGEMENT SERVICES, LLC",CHIEF EXECUTIVES,EXECUTIVE VICE PRESIDENT,N,58926.0,2016.0,"CHESTERFIELD, MISSOURI",-90.5770675,38.6631083
180,181,DENIED,WC INC.,CHIEF EXECUTIVES,GLOBAL BUSINESS DEVELOPMENT EXECUTIVE,Y,163000.0,2016.0,"OXNARD, CALIFORNIA",-119.17705159999998,34.1975048
181,182,CERTIFIED,ALPHAEON CORPORATION,CHIEF EXECUTIVES,VICE PRESIDENT CANADA & LATIN AMERICA,Y,230700.0,2016.0,"IRVINE, CALIFORNIA",-117.79469420000001,33.6839473
182,183,CERTIFIED,HENNIGES AUTOMOTIVE NORTH AMERICA INC.,CHIEF EXECUTIVES,"VICE PRESIDENT, SALES & MARKETING, GLOBAL SEALING SYSTEMS",Y,146661.0,2016.0,"AUBURN HILLS, MICHIGAN",-83.23410279999999,42.6875323
183,184,CERTIFIED,WC INC.,CHIEF EXECUTIVES,GLOBAL BUSINESS DEVELOPMENT EXECUTIVE,Y,163000.0,2016.0,"OXNARD, CALIFORNIA",-119.17705159999998,34.1975048
184,185,CERTIFIED,"FUERST GROUP, INC.",CHIEF EXECUTIVES,EXECUTIVE VICE PRESIDENT OF GLOBAL VALUE SUPPLY CHAIN,Y,202946.0,2016.0,"MENLO PARK, CALIFORNIA",-122.1817252,37.4529598
185,186,CERTIFIED,"ROUSH MANAGEMENT, L.L.C.",CHIEF EXECUTIVES,ENTERTAINMENT SYSTEMS ENGINEERING (ESE) DIRECTOR,Y,150779.0,2016.0,"LIVONIA, MICHIGAN",-83.3527097,42.36837
186,187,CERTIFIED,"SWIFT BEEF COMPANY, A JBS USA SUBSIDIARY",CHIEF EXECUTIVES,HEAD OF STRATEGY,Y,143458.0,2016.0,"GREELEY, COLORADO",-104.7091322,40.42331420000001
187,188,CERTIFIED,"DRS INDUSTRIES, INC.",CHIEF EXECUTIVES,PRESIDENT/CHIEF EXECUTIVE OFFICER,Y,132184.0,2016.0,"HOLLAND, OHIO",,
188,189,CERTIFIED,"SENTE ADVISORY SERVICES, INC.",CHIEF EXECUTIVES,"PRESIDENT, ISRAEL BUSINESS DIVISION",Y,82930.0,2016.0,"CHICAGO IL, ILLINOIS",,
189,190,CERTIFIED,"MOON RIVER FOODS, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,N,45240.0,2016.0,"INDIANOLA, MISSISSIPPI",,
190,191,CERTIFIED,"BOOKMD, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,117998.4,2016.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
191,192,CERTIFIED,"UFI FILTERS USA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER - AMERICAS,Y,235518.0,2016.0,"TROY, MICHIGAN",-83.1497751,42.6064095
192,193,CERTIFIED,"OMNIA MEDIA, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,256173.0,2016.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
193,194,CERTIFIED-WITHDRAWN,HAWAII ISLAND AIR INC.,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,202530.0,2016.0,"HONOLULU, HAWAII",-157.8583333,21.3069444
194,195,CERTIFIED,INTERNET CORPORATION FOR ASSIGNED NAMES AND NUMBERS,CHIEF EXECUTIVES,PRESIDENT AND CHIEF EXECUTIVE OFFICER,Y,256173.0,2016.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
195,196,CERTIFIED,"SENSORHOUND, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER AND RESEARCH SCIENTIST,Y,76752.0,2016.0,"WEST LAFAYETTE, INDIANA",-86.9080655,40.4258686
196,197,CERTIFIED,"DELAWARE CONSULTING US, INC.",CHIEF EXECUTIVES,OPEN TEXT STREAMSERVE CONSULTING MANAGER,Y,102190.0,2016.0,"ALPHARETTA, GEORGIA",-84.2940899,34.07537620000001
197,198,CERTIFIED,"AVGOL AMERICA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,244774.0,2016.0,"MOCKSVILLE, NORTH CAROLINA",,
198,199,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
199,200,CERTIFIED-WITHDRAWN,"ALEVO, INC",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016.0,"CONCORD, NORTH CAROLINA",-80.579511,35.4087517
200,201,CERTIFIED,CRMIT SOLUTIONS INC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,102190.0,2016.0,"NORCROSS, GEORGIA",-84.2135309,33.9412127
201,202,CERTIFIED,"PURCH GROUP, INC.",CHIEF EXECUTIVES,SENIOR VICE-PRESIDENT & GENERAL MANAGER,Y,156104.0,2016.0,"OGDEN, UTAH",-111.9738304,41.223
202,203,CERTIFIED,AERAS,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"ROCKVILLE, MARYLAND",-77.1527578,39.0839973
203,204,CERTIFIED,"AVGOL AMERICA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF PURCHASING AND LOGISTICS,Y,155397.0,2016.0,"MOCKSVILLE, NORTH CAROLINA",,
204,205,CERTIFIED,NEW SIGHT DEVICES CORP.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,151611.2,2016.0,"WILMINGTON, DELAWARE",-75.5397878,39.7390721
205,206,CERTIFIED,HOTEL CONNECTIONS INC.,CHIEF EXECUTIVES,CHIEF OPERATIONS OFFICER,Y,205629.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
206,207,CERTIFIED,CURSELL LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,118061.0,2016.0,"HALLANDALE, FLORIDA",-80.148379,25.981202399999997
207,208,CERTIFIED,CURSELL LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER (COO),Y,118061.0,2016.0,"HALLANDALE BEACH, FLORIDA",-80.148379,25.981202399999997
208,209,CERTIFIED,"AHOLD USA, INC.",CHIEF EXECUTIVES,DIVISION PRESIDENT,Y,241842.0,2016.0,"HYATTSVILLE, MARYLAND",-76.9455301,38.955944200000005
209,210,CERTIFIED,"HEALTHCARE PARTNERS, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, STRATEGY & SPECIAL PROJECTS",Y,187200.0,2016.0,"DENVER, COLORADO",-104.990251,39.739235799999996
210,211,WITHDRAWN,"ARTEX, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,195728.0,2016.0,"LANDOVER DRIVE, MARYLAND",,
211,212,CERTIFIED,"WORLDVIZ, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,109387.0,2016.0,"SANTA BARBARA, CALIFORNIA",-119.69819009999999,34.4208305
212,213,CERTIFIED,ALTISOURCE ASSET MANAGEMENT CORPORATION,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,180502.0,2016.0,"CHRISTIANSTED, NA",-64.7031977,17.7466397
213,214,CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF MANAGEMENT OFFICER,Y,119184.0,2016.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
214,215,DENIED,SIMCRO INC.,CHIEF EXECUTIVES,PRESIDENT,Y,202072.0,2016.0,"LAWRENCE, KANSAS",-95.23525009999999,38.971668900000004
215,216,DENIED,"PEARTRACK SECURITY SYSTEMS, INC.",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,117998.0,2016.0,"SANTA MONICA, CALIFORNIA",-118.4911912,34.01945429999999
216,217,CERTIFIED,AUTOPODS INC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,94577.6,2016.0,"PITTSBURGH, PENNSYLVANIA",-79.9958864,40.440624799999995
217,218,CERTIFIED,"TELEMUNDO MEDIA, LLC",CHIEF EXECUTIVES,SVP TALENT MANAGEMENT,Y,251909.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
218,219,CERTIFIED,"HYPERLOOP TECHNOLOGIES, INC.",CHIEF EXECUTIVES,"VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,210122.0,2016.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
219,220,CERTIFIED,SOFTMARKETING CORPORATION,CHIEF EXECUTIVES,BUSINESS MANAGER,Y,113090.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
220,221,CERTIFIED,CIRCUITRONIX LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,118061.0,2016.0,"FORT LAUDERDALE, FLORIDA",-80.13731740000001,26.122438600000002
221,222,WITHDRAWN,"FRANKE FOODSERVICE SYSTEMS, INC.",CHIEF EXECUTIVES,PRESIDENT OF SOLUTIONS,Y,210933.0,2016.0,"SMYRNA, TENNESSEE",-86.51860450000001,35.9828412
222,223,CERTIFIED,"FRANKE FOODSERVICE SOLUTIONS, INC.",CHIEF EXECUTIVES,PRESIDENT OF SOLUTIONS,Y,210933.0,2016.0,"SMYRNA, TENNESSEE",-86.51860450000001,35.9828412
223,224,CERTIFIED,LED LINEAR USA INC,CHIEF EXECUTIVES,PRESIDENT,Y,99070.0,2016.0,"NIAGARA FALLS, NEW YORK",-79.03773879999999,43.0962143
224,225,CERTIFIED,"FRANKE FOODSERVICE SOLUTIONS, INC.",CHIEF EXECUTIVES,PRESIDENT OF SOLUTIONS,Y,210933.0,2016.0,"SMYRNA, TENNESSEE",-86.51860450000001,35.9828412
225,226,CERTIFIED,STEREN ELECTRONICS INTERNATIONAL LLC,CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE",Y,148824.0,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
226,227,CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF MARKETING OFFICER,Y,119184.0,2016.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
227,228,CERTIFIED,CALIFORNIA GALVANIZING AND STEEL STRUCTURES INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER/CHIEF FINANCIAL OFFICER,Y,99986.0,2016.0,"CHULA VISTA, CALIFORNIA",-117.0841955,32.6400541
228,229,WITHDRAWN,"FRANKE FOODSERVICE SOLUTIONS, INC.",CHIEF EXECUTIVES,PRESIDENT OF SOLUTIONS,Y,210933.0,2016.0,"SMYRNA, TENNESSEE",-86.51860450000001,35.9828412
229,230,CERTIFIED,CARMA TECHOLOGY CORPORATION,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
230,231,WITHDRAWN,"TMX FINANCE, LLC",CHIEF EXECUTIVES,VP OF VEHICLE REMARKETING,Y,153358.0,2016.0,"SAVANNAH, GEORGIA",-81.0998342,32.0835407
231,232,CERTIFIED,OPUS DYNAMIC LLC,CHIEF EXECUTIVES,"SENIOR VICE PRESIDENT, HEAD OF SERVICE DESIGN & MOBILIZATION",Y,235518.0,2016.0,"BEVERLY HILLS, MICHIGAN",,
232,233,CERTIFIED,"WEEKS COMMUNICATIONS, INC.",CHIEF EXECUTIVES,VP  OF WEST COAST AND  INTERNATIONAL MARKET OPERATIONS,Y,139214.0,2016.0,"INDIANAPOLIS, INDIANA",-86.158068,39.768403
233,234,CERTIFIED,SIMCRO INC.,CHIEF EXECUTIVES,PRESIDENT,Y,202072.0,2016.0,"LAWRENCE, KANSAS",-95.23525009999999,38.971668900000004
234,235,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
235,236,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
236,237,WITHDRAWN,X-DRILL INC,CHIEF EXECUTIVES,"VICE PRESIDENT, QUALITY, HEALTH & SAFETY",Y,187200.0,2016.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
237,238,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
238,239,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
239,240,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"VINEYARD, UTAH",,
240,241,CERTIFIED,H & L INNOVATIONS LLC,CHIEF EXECUTIVES,CFO AND INTERNATIONAL RELATIONS MANAGER,N,64875.0,2016.0,"MADISON, WISCONSIN",-89.4012302,43.07305170000001
241,242,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"VINEYARD, UTAH",,
242,243,CERTIFIED,X-DRILL INC,CHIEF EXECUTIVES,"VICE PRESIDENT, QUALITY, HEALTH & SAFETY",Y,187200.0,2016.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
243,244,DENIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"VINEYARD, UTAH",,
244,245,CERTIFIED,SOFTMARKETING CORPORATION,CHIEF EXECUTIVES,BUSINESS MANAGER,Y,113090.0,2016.0,"MIAMI, FLORIDA",-80.1917902,25.7616798
245,246,CERTIFIED,"PEARTRACK SECURITY SYSTEMS, INC.",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,117998.0,2016.0,"SANTA MONICA, CALIFORNIA",-118.4911912,34.01945429999999
246,247,CERTIFIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"VINEYARD, UTAH",,
247,248,CERTIFIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
248,249,CERTIFIED,"PRONTO GENERAL AGENCY, LTD.",CHIEF EXECUTIVES,PRESIDENT,Y,161179.0,2016.0,"BROWNSVILLE, TEXAS",-97.4974838,25.9017472
249,250,CERTIFIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"VINEYARD, UTAH",,
250,251,CERTIFIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"PROVO, UTAH",-111.6585337,40.233843799999995
251,252,CERTIFIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373.0,2016.0,"VINEYARD, UTAH",,
252,253,CERTIFIED,ZENEDGE INC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,113089.6,2016.0,"AVENTURA, FLORIDA",-80.1392121,25.9564812
253,254,CERTIFIED,"CMG WORLDWIDE, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,88338.0,2016.0,"INDIANAPOLIS, INDIANA",-86.158068,39.768403
254,255,CERTIFIED,SYSTEM LOGISTICS CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,92518.0,2016.0,"GRAND RAPIDS, MICHIGAN",-85.6680863,42.9633599
